date,time,entidad,compra,venta
2026-08-26,2026-08-26T21:43:10Z,Cambio Extranjero,58.2,
2026-08-26,2026-08-26T21:43:10Z,Asociación Romana,57.4,
2026-08-26,2026-08-26T21:43:10Z,Taveras,58,58.6
2026-08-26,2026-08-26T21:43:10Z,Moneycorps,58.1,58.75
2026-08-26,2026-08-26T21:43:10Z,Gamelin,58,58.8
2026-08-26,2026-08-26T21:43:10Z,RM,58.3,58.8
2026-08-26,2026-08-26T21:43:10Z,Panora Exchange,58.2,58.8
2026-08-26,2026-08-26T21:43:10Z,SCT,58.2,58.9
2026-08-26,2026-08-26T21:43:10Z,Banco Unión,57.8,59.5
2026-08-26,2026-08-26T21:43:10Z,Asociación La Nacional de Ahorros y Préstamos,56.7,59.7
2026-08-26,2026-08-26T21:43:10Z,Banco BHD,56,59.8
2026-08-26,2026-08-26T21:43:10Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-08-26,2026-08-26T21:43:10Z,Bonanza Banco,57.8,59.8
2026-08-26,2026-08-26T21:43:10Z,Motor Crédito,57.9,59.8
2026-08-26,2026-08-26T21:43:10Z,Banreservas,56.4,59.9
2026-08-26,2026-08-26T21:43:10Z,Banesco,56.5,59.9
2026-08-26,2026-08-26T21:43:10Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-08-26,2026-08-26T21:43:10Z,Banco Lafise,56.6,60
