date,time,entidad,compra,venta
2026-04-15,2026-04-15T20:06:41Z,Asociación Romana,59.1,
2026-04-15,2026-04-15T20:06:41Z,RM,59.9,60.5
2026-04-15,2026-04-15T20:06:41Z,Moneycorps,59.7,60.6
2026-04-15,2026-04-15T20:06:41Z,Gamelin,59.6,60.6
2026-04-15,2026-04-15T20:06:41Z,SCT,59.8,60.6
2026-04-15,2026-04-15T20:06:41Z,Panora Exchange,60,60.7
2026-04-15,2026-04-15T20:06:41Z,Cambio Extranjero,59.9,60.8
2026-04-15,2026-04-15T20:06:41Z,Taveras,60.5,61.25
2026-04-15,2026-04-15T20:06:41Z,Banco Caribe,59,61.25
2026-04-15,2026-04-15T20:06:41Z,Motor Crédito,59.2,61.25
2026-04-15,2026-04-15T20:06:41Z,Asociación Duarte,58.4,61.4
2026-04-15,2026-04-15T20:06:41Z,Bonanza Banco,59,61.4
2026-04-15,2026-04-15T20:06:41Z,Banreservas,58.5,61.5
2026-04-15,2026-04-15T20:06:41Z,Abonap,58.49,61.64
2026-04-15,2026-04-15T20:06:41Z,Banco Unión,58.5,61.75
2026-04-15,2026-04-15T20:06:41Z,Asociación Cibao de Ahorros y Préstamos,59,61.8
2026-04-15,2026-04-15T20:06:41Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-15,2026-04-15T20:06:41Z,Banco BHD,58.4,61.9
2026-04-15,2026-04-15T20:06:41Z,Banco Lafise,58.4,61.9
2026-04-15,2026-04-15T20:06:41Z,Banesco,58.3,61.9
2026-04-15,2026-04-15T20:06:41Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-15,2026-04-15T20:06:41Z,Asociación Popular de Ahorros y Préstamos,58.1,61.9
