date,time,entidad,compra,venta
2026-05-25,2026-05-25T14:56:46Z,Cambio Extranjero,58.5,
2026-05-25,2026-05-25T14:56:46Z,Asociación Romana,58.1,
2026-05-25,2026-05-25T14:56:46Z,RM,58.5,59.3
2026-05-25,2026-05-25T14:56:46Z,Taveras,58.5,59.3
2026-05-25,2026-05-25T14:56:46Z,Moneycorps,58.8,59.449999999999996
2026-05-25,2026-05-25T14:56:46Z,Panora Exchange,58.449999999999996,59.5
2026-05-25,2026-05-25T14:56:46Z,Gamelin,58.6,59.6
2026-05-25,2026-05-25T14:56:46Z,SCT,58.9,59.8
2026-05-25,2026-05-25T14:56:46Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.5
2026-05-25,2026-05-25T14:56:46Z,Bonanza Banco,58.4,60.5
2026-05-25,2026-05-25T14:56:46Z,Banco Unión,58.5,60.5
2026-05-25,2026-05-25T14:56:46Z,Banreservas,57.5,60.5
2026-05-25,2026-05-25T14:56:46Z,Banco Caribe,58,60.5
2026-05-25,2026-05-25T14:56:46Z,Motor Crédito,58.65,60.5
2026-05-25,2026-05-25T14:56:46Z,Abonap,57.49,60.56
2026-05-25,2026-05-25T14:56:46Z,Asociación La Nacional de Ahorros y Préstamos,57.5,60.6
2026-05-25,2026-05-25T14:56:46Z,Banco BHD,57.1,60.6
2026-05-25,2026-05-25T14:56:46Z,Banco Lafise,57.1,60.6
2026-05-25,2026-05-25T14:56:46Z,Banesco,57.8,60.6
2026-05-25,2026-05-25T14:56:46Z,Asociación Popular de Ahorros y Préstamos,57.5,60.6
2026-05-25,2026-05-25T14:56:46Z,Asociación Peravia de Ahorros y Préstamos,57.1,60.949999999999996
