date,time,entidad,compra,venta
2026-08-14,2026-08-14T16:54:41Z,Cambio Extranjero,58.349999999999994,
2026-08-14,2026-08-14T16:54:41Z,Asociación Romana,57.5,
2026-08-14,2026-08-14T16:54:41Z,Taveras,58.349999999999994,58.8
2026-08-14,2026-08-14T16:54:41Z,Gamelin,58,58.8
2026-08-14,2026-08-14T16:54:41Z,SCT,58.4,58.849999999999994
2026-08-14,2026-08-14T16:54:41Z,Moneycorps,58.4,59
2026-08-14,2026-08-14T16:54:41Z,RM,58.5,59
2026-08-14,2026-08-14T16:54:41Z,Panora Exchange,58.4,59.15
2026-08-14,2026-08-14T16:54:41Z,Motor Crédito,57.8,59.5
2026-08-14,2026-08-14T16:54:41Z,Banco Unión,57.75,59.75
2026-08-14,2026-08-14T16:54:41Z,Bonanza Banco,57.8,59.8
2026-08-14,2026-08-14T16:54:41Z,Asociación La Nacional de Ahorros y Préstamos,56.9,59.9
2026-08-14,2026-08-14T16:54:41Z,Banco BHD,56.1,59.9
2026-08-14,2026-08-14T16:54:41Z,Banreservas,56.4,59.9
2026-08-14,2026-08-14T16:54:41Z,Banco Lafise,56.6,59.9
2026-08-14,2026-08-14T16:54:41Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.9
2026-08-14,2026-08-14T16:54:41Z,Banesco,56.5,59.9
