date,time,entidad,compra,venta
2026-06-22,2026-06-22T21:32:34Z,Cambio Extranjero,58.2,
2026-06-22,2026-06-22T21:32:34Z,Asociación Romana,57.65,
2026-06-22,2026-06-22T21:32:34Z,Taveras,58,58.75
2026-06-22,2026-06-22T21:32:34Z,Moneycorps,58.15,58.8
2026-06-22,2026-06-22T21:32:34Z,RM,58.3,58.849999999999994
2026-06-22,2026-06-22T21:32:34Z,Panora Exchange,58.25,59
2026-06-22,2026-06-22T21:32:34Z,SCT,58.2,59
2026-06-22,2026-06-22T21:32:34Z,Gamelin,58.2,59
2026-06-22,2026-06-22T21:32:34Z,Banco Unión,57.75,59.5
2026-06-22,2026-06-22T21:32:34Z,Asociación Cibao de Ahorros y Préstamos,56.9,59.9
2026-06-22,2026-06-22T21:32:34Z,Banco BHD,56.15,59.9
2026-06-22,2026-06-22T21:32:34Z,Banreservas,56.9,59.9
2026-06-22,2026-06-22T21:32:34Z,Motor Crédito,57.949999999999996,59.9
2026-06-22,2026-06-22T21:32:34Z,Banco Lafise,56.5,60
2026-06-22,2026-06-22T21:32:34Z,Bonanza Banco,58,60
2026-06-22,2026-06-22T21:32:34Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-22,2026-06-22T21:32:34Z,Banesco,57,60
2026-06-22,2026-06-22T21:32:34Z,Banco Caribe,57,60
2026-06-22,2026-06-22T21:32:34Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-22,2026-06-22T21:32:34Z,Abonap,56.92,60.05
2026-06-22,2026-06-22T21:32:34Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.55
