date,time,entidad,compra,venta
2026-06-27,2026-06-27T13:45:49Z,Cambio Extranjero,59,
2026-06-27,2026-06-27T13:45:49Z,Asociación Romana,57.65,
2026-06-27,2026-06-27T13:45:49Z,Abonap,57.01,60.14
2026-06-27,2026-06-27T13:45:49Z,Banco Caribe,58.25,60.25
2026-06-27,2026-06-27T13:45:49Z,SCT,59,60.3
2026-06-27,2026-06-27T13:45:49Z,Moneycorps,59.4,60.4
2026-06-27,2026-06-27T13:45:49Z,Panora Exchange,59,60.5
2026-06-27,2026-06-27T13:45:49Z,RM,59.5,60.5
2026-06-27,2026-06-27T13:45:49Z,Taveras,59.5,60.5
2026-06-27,2026-06-27T13:45:49Z,Motor Crédito,59.25,60.55
2026-06-27,2026-06-27T13:45:49Z,Gamelin,59.5,60.6
2026-06-27,2026-06-27T13:45:49Z,Bonanza Banco,59,60.75
2026-06-27,2026-06-27T13:45:49Z,Banco Unión,58.5,60.75
2026-06-27,2026-06-27T13:45:49Z,Banreservas,57.75,60.75
2026-06-27,2026-06-27T13:45:49Z,Banco Lafise,57.8,60.8
2026-06-27,2026-06-27T13:45:49Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-06-27,2026-06-27T13:45:49Z,Banesco,57.5,60.849999999999994
2026-06-27,2026-06-27T13:45:49Z,Asociación Cibao de Ahorros y Préstamos,59,60.9
2026-06-27,2026-06-27T13:45:49Z,Banco BHD,57.05,60.9
2026-06-27,2026-06-27T13:45:49Z,Asociación La Nacional de Ahorros y Préstamos,59,60.9
2026-06-27,2026-06-27T13:45:49Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
