date,time,entidad,compra,venta
2026-04-29,2026-04-29T14:01:13Z,Asociación Romana,58.5,
2026-04-29,2026-04-29T14:01:13Z,Taveras,59.1,59.75
2026-04-29,2026-04-29T14:01:13Z,Moneycorps,59.25,60
2026-04-29,2026-04-29T14:01:13Z,Cambio Extranjero,59.5,60.1
2026-04-29,2026-04-29T14:01:13Z,Gamelin,59.3,60.2
2026-04-29,2026-04-29T14:01:13Z,Panora Exchange,59.349999999999994,60.25
2026-04-29,2026-04-29T14:01:13Z,SCT,59.4,60.3
2026-04-29,2026-04-29T14:01:13Z,RM,59.6,60.5
2026-04-29,2026-04-29T14:01:13Z,Motor Crédito,58.65,60.5
2026-04-29,2026-04-29T14:01:13Z,Bonanza Banco,59,61
2026-04-29,2026-04-29T14:01:13Z,Banreservas,58,61
2026-04-29,2026-04-29T14:01:13Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-04-29,2026-04-29T14:01:13Z,Abonap,57.93,61.24
2026-04-29,2026-04-29T14:01:13Z,Banco Caribe,58.5,61.25
2026-04-29,2026-04-29T14:01:13Z,Banco BHD,57.7,61.4
2026-04-29,2026-04-29T14:01:13Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.4
2026-04-29,2026-04-29T14:01:13Z,Banco Lafise,57.9,61.4
2026-04-29,2026-04-29T14:01:13Z,Banesco,58,61.4
2026-04-29,2026-04-29T14:01:13Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
2026-04-29,2026-04-29T14:01:13Z,Asociación Popular de Ahorros y Préstamos,57.75,61.4
2026-04-29,2026-04-29T14:01:13Z,Banco Unión,58.5,61.5
