date,time,entidad,compra,venta
2026-07-09,2026-07-09T20:48:18Z,Asociación Romana,58,
2026-07-09,2026-07-09T20:48:18Z,Cambio Extranjero,58.25,
2026-07-09,2026-07-09T20:48:18Z,Panora Exchange,58.349999999999994,59
2026-07-09,2026-07-09T20:48:18Z,RM,58.5,59.1
2026-07-09,2026-07-09T20:48:18Z,Moneycorps,58.3,59.25
2026-07-09,2026-07-09T20:48:18Z,Gamelin,58.3,59.25
2026-07-09,2026-07-09T20:48:18Z,SCT,58.4,59.5
2026-07-09,2026-07-09T20:48:18Z,Taveras,58.6,59.6
2026-07-09,2026-07-09T20:48:18Z,Motor Crédito,58.3,59.8
2026-07-09,2026-07-09T20:48:18Z,Banco Unión,57.9,59.9
2026-07-09,2026-07-09T20:48:18Z,Bonanza Banco,58,60.5
2026-07-09,2026-07-09T20:48:18Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-09,2026-07-09T20:48:18Z,Banco Caribe,57.75,60.75
2026-07-09,2026-07-09T20:48:18Z,Banreservas,57.75,60.75
2026-07-09,2026-07-09T20:48:18Z,Abonap,57.53,60.760000000000005
2026-07-09,2026-07-09T20:48:18Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-09,2026-07-09T20:48:18Z,Banco Lafise,57.5,60.8
2026-07-09,2026-07-09T20:48:18Z,Asociación Popular de Ahorros y Préstamos,57.5,60.8
2026-07-09,2026-07-09T20:48:18Z,Banesco,57.5,60.849999999999994
2026-07-09,2026-07-09T20:48:18Z,Banco BHD,57.05,60.9
2026-07-09,2026-07-09T20:48:18Z,Asociación Peravia de Ahorros y Préstamos,56.8,60.949999999999996
