date,time,entidad,compra,venta
2026-07-28,2026-07-28T20:17:02Z,Cambio Extranjero,57.9,
2026-07-28,2026-07-28T20:17:02Z,Asociación Romana,57.3,
2026-07-28,2026-07-28T20:17:02Z,Panora Exchange,58,58.5
2026-07-28,2026-07-28T20:17:02Z,RM,58.25,58.6
2026-07-28,2026-07-28T20:17:02Z,Taveras,58,58.6
2026-07-28,2026-07-28T20:17:02Z,Moneycorps,58,58.75
2026-07-28,2026-07-28T20:17:02Z,Gamelin,58,58.8
2026-07-28,2026-07-28T20:17:02Z,SCT,58.2,58.8
2026-07-28,2026-07-28T20:17:02Z,Banco Unión,57.5,59.5
2026-07-28,2026-07-28T20:17:02Z,Motor Crédito,57.8,59.5
2026-07-28,2026-07-28T20:17:02Z,Banco BHD,56,59.8
2026-07-28,2026-07-28T20:17:02Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-07-28,2026-07-28T20:17:02Z,Bonanza Banco,57.8,59.8
2026-07-28,2026-07-28T20:17:02Z,Asociación Popular de Ahorros y Préstamos,56.6,60
2026-07-28,2026-07-28T20:17:02Z,Asociación La Nacional de Ahorros y Préstamos,56.6,60
2026-07-28,2026-07-28T20:17:02Z,Banreservas,56.5,60
2026-07-28,2026-07-28T20:17:02Z,Banco Lafise,56.7,60
2026-07-28,2026-07-28T20:17:02Z,Banesco,56.8,60
2026-07-28,2026-07-28T20:17:02Z,Asociación Peravia de Ahorros y Préstamos,56.1,60.25
