date,time,entidad,compra,venta
2026-04-30,2026-04-30T17:23:44Z,Asociación Romana,58.6,
2026-04-30,2026-04-30T17:23:44Z,Taveras,59.1,59.75
2026-04-30,2026-04-30T17:23:44Z,Moneycorps,59.3,60
2026-04-30,2026-04-30T17:23:44Z,Cambio Extranjero,59.4,60
2026-04-30,2026-04-30T17:23:44Z,Panora Exchange,59.4,60.1
2026-04-30,2026-04-30T17:23:44Z,Gamelin,59.3,60.2
2026-04-30,2026-04-30T17:23:44Z,SCT,59.4,60.3
2026-04-30,2026-04-30T17:23:44Z,RM,59.6,60.5
2026-04-30,2026-04-30T17:23:44Z,Motor Crédito,58.65,60.5
2026-04-30,2026-04-30T17:23:44Z,Bonanza Banco,59,61
2026-04-30,2026-04-30T17:23:44Z,Banreservas,58,61
2026-04-30,2026-04-30T17:23:44Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-04-30,2026-04-30T17:23:44Z,Abonap,57.93,61.24
2026-04-30,2026-04-30T17:23:44Z,Banco Unión,58.5,61.25
2026-04-30,2026-04-30T17:23:44Z,Banco Caribe,58.5,61.25
2026-04-30,2026-04-30T17:23:44Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
2026-04-30,2026-04-30T17:23:44Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.4
2026-04-30,2026-04-30T17:23:44Z,Banco BHD,57.7,61.4
2026-04-30,2026-04-30T17:23:44Z,Banco Lafise,57.9,61.4
2026-04-30,2026-04-30T17:23:44Z,Banesco,58,61.4
2026-04-30,2026-04-30T17:23:44Z,Asociación Popular de Ahorros y Préstamos,57.75,61.4
