date,time,entidad,compra,venta
2026-03-10,2026-03-10T13:05:00Z,Capla,60.4,
2026-03-10,2026-03-10T13:05:00Z,Cambio Extranjero,60.849999999999994,
2026-03-10,2026-03-10T13:05:00Z,Asociación Romana,59.75,
2026-03-10,2026-03-10T13:05:00Z,Motor Crédito,59.949999999999996,61.4
2026-03-10,2026-03-10T13:05:00Z,RM,60.7,61.5
2026-03-10,2026-03-10T13:05:00Z,Banco Unión,59,61.5
2026-03-10,2026-03-10T13:05:00Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-10,2026-03-10T13:05:00Z,Taveras,60.25,61.6
2026-03-10,2026-03-10T13:05:00Z,Banco Caribe,60,61.6
2026-03-10,2026-03-10T13:05:00Z,Bonanza Banco,60,61.65
2026-03-10,2026-03-10T13:05:00Z,Gamelin,60.5,61.8
2026-03-10,2026-03-10T13:05:00Z,Moneycorps,60.7,61.8
2026-03-10,2026-03-10T13:05:00Z,Asociación Duarte,59.8,61.8
2026-03-10,2026-03-10T13:05:00Z,Asociación La Nacional de Ahorros y Préstamos,59.9,61.9
2026-03-10,2026-03-10T13:05:00Z,SCT,60.8,61.9
2026-03-10,2026-03-10T13:05:00Z,Banreservas,59.949999999999996,61.949999999999996
2026-03-10,2026-03-10T13:05:00Z,Banco BHD,59.3,62
2026-03-10,2026-03-10T13:05:00Z,Asociación Cibao de Ahorros y Préstamos,60,62
2026-03-10,2026-03-10T13:05:00Z,Banco Lafise,60,62
2026-03-10,2026-03-10T13:05:00Z,Banesco,59.15,62
2026-03-10,2026-03-10T13:05:00Z,Asociación Popular de Ahorros y Préstamos,59.3,62
2026-03-10,2026-03-10T13:05:00Z,Abonap,59.68,62.06
2026-03-10,2026-03-10T13:05:00Z,Panora Exchange,60.9,62.2
