date,time,entidad,compra,venta
2026-04-09,2026-04-09T17:10:14Z,Asociación Romana,59.6,
2026-04-09,2026-04-09T17:10:14Z,Panora Exchange,59.3,60.25
2026-04-09,2026-04-09T17:10:14Z,RM,59.5,60.5
2026-04-09,2026-04-09T17:10:14Z,Moneycorps,59.25,60.5
2026-04-09,2026-04-09T17:10:14Z,SCT,59.4,60.9
2026-04-09,2026-04-09T17:10:14Z,Gamelin,59.8,61.05
2026-04-09,2026-04-09T17:10:14Z,Cambio Extranjero,,61.05
2026-04-09,2026-04-09T17:10:14Z,Taveras,60.5,61.25
2026-04-09,2026-04-09T17:10:14Z,Banco Unión,58.25,61.25
2026-04-09,2026-04-09T17:10:14Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.5
2026-04-09,2026-04-09T17:10:14Z,Bonanza Banco,59.25,61.5
2026-04-09,2026-04-09T17:10:14Z,Banreservas,59,61.5
2026-04-09,2026-04-09T17:10:14Z,Motor Crédito,59.2,61.5
2026-04-09,2026-04-09T17:10:14Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-09,2026-04-09T17:10:14Z,Banco Caribe,58.5,61.849999999999994
2026-04-09,2026-04-09T17:10:14Z,Banco BHD,58.4,61.9
2026-04-09,2026-04-09T17:10:14Z,Banco Lafise,58.4,61.9
2026-04-09,2026-04-09T17:10:14Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-09,2026-04-09T17:10:14Z,Banesco,58.3,61.9
2026-04-09,2026-04-09T17:10:14Z,Abonap,58.760000000000005,61.9
2026-04-09,2026-04-09T17:10:14Z,Asociación Duarte,58.4,61.9
2026-04-09,2026-04-09T17:10:14Z,Asociación Popular de Ahorros y Préstamos,58.1,61.9
