date,time,entidad,compra,venta
2026-07-30,2026-07-30T20:17:16Z,Cambio Extranjero,58,
2026-07-30,2026-07-30T20:17:16Z,Asociación Romana,57.3,
2026-07-30,2026-07-30T20:17:16Z,RM,58.25,58.6
2026-07-30,2026-07-30T20:17:16Z,Taveras,58,58.6
2026-07-30,2026-07-30T20:17:16Z,Panora Exchange,58.1,58.65
2026-07-30,2026-07-30T20:17:16Z,Moneycorps,58,58.7
2026-07-30,2026-07-30T20:17:16Z,SCT,58.2,58.8
2026-07-30,2026-07-30T20:17:16Z,Gamelin,58,58.8
2026-07-30,2026-07-30T20:17:16Z,Banco Unión,57.5,59.5
2026-07-30,2026-07-30T20:17:16Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.5
2026-07-30,2026-07-30T20:17:16Z,Asociación La Nacional de Ahorros y Préstamos,56.6,59.5
2026-07-30,2026-07-30T20:17:16Z,Motor Crédito,57.8,59.5
2026-07-30,2026-07-30T20:17:16Z,Banco BHD,56,59.8
2026-07-30,2026-07-30T20:17:16Z,Bonanza Banco,57.8,59.8
2026-07-30,2026-07-30T20:17:16Z,Banreservas,56.5,60
2026-07-30,2026-07-30T20:17:16Z,Banco Lafise,56.7,60
2026-07-30,2026-07-30T20:17:16Z,Banesco,56.8,60
2026-07-30,2026-07-30T20:17:16Z,Asociación Peravia de Ahorros y Préstamos,56.1,60.25
