date,time,entidad,compra,venta
2026-05-14,2026-05-14T17:52:05Z,Cambio Extranjero,59.349999999999994,
2026-05-14,2026-05-14T17:52:05Z,Asociación Romana,58.5,
2026-05-14,2026-05-14T17:52:05Z,RM,59,59.7
2026-05-14,2026-05-14T17:52:05Z,Taveras,59.25,59.9
2026-05-14,2026-05-14T17:52:05Z,Moneycorps,59.25,60
2026-05-14,2026-05-14T17:52:05Z,Panora Exchange,59.1,60
2026-05-14,2026-05-14T17:52:05Z,Gamelin,59,60
2026-05-14,2026-05-14T17:52:05Z,SCT,59.3,60.3
2026-05-14,2026-05-14T17:52:05Z,Motor Crédito,58.65,60.5
2026-05-14,2026-05-14T17:52:05Z,Banco BHD,57.1,60.8
2026-05-14,2026-05-14T17:52:05Z,Bonanza Banco,58.7,60.8
2026-05-14,2026-05-14T17:52:05Z,Banreservas,57.8,60.8
2026-05-14,2026-05-14T17:52:05Z,Banco Caribe,58,60.8
2026-05-14,2026-05-14T17:52:05Z,Abonap,57.809999999999995,60.839999999999996
2026-05-14,2026-05-14T17:52:05Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-14,2026-05-14T17:52:05Z,Banco Lafise,57.5,61
2026-05-14,2026-05-14T17:52:05Z,Banco Unión,58.5,61
2026-05-14,2026-05-14T17:52:05Z,Banesco,58,61
2026-05-14,2026-05-14T17:52:05Z,Asociación La Nacional de Ahorros y Préstamos,58,61
2026-05-14,2026-05-14T17:52:05Z,Asociación Popular de Ahorros y Préstamos,57.75,61
2026-05-14,2026-05-14T17:52:05Z,Asociación Peravia de Ahorros y Préstamos,58,61
