date,time,entidad,compra,venta
2026-09-05,2026-09-05T17:59:29Z,Cambio Extranjero,58.6,
2026-09-05,2026-09-05T17:59:29Z,Asociación Romana,57.8,
2026-09-05,2026-09-05T17:59:29Z,Moneycorps,58.6,59.3
2026-09-05,2026-09-05T17:59:29Z,Taveras,58.5,59.3
2026-09-05,2026-09-05T17:59:29Z,Panora Exchange,58.5,59.349999999999994
2026-09-05,2026-09-05T17:59:29Z,Gamelin,58.8,59.4
2026-09-05,2026-09-05T17:59:29Z,RM,58.7,59.5
2026-09-05,2026-09-05T17:59:29Z,SCT,58.8,59.7
2026-09-05,2026-09-05T17:59:29Z,Banco BHD,56,59.8
2026-09-05,2026-09-05T17:59:29Z,Bonanza Banco,58.1,59.8
2026-09-05,2026-09-05T17:59:29Z,Motor Crédito,57.9,59.8
2026-09-05,2026-09-05T17:59:29Z,Banreservas,56.4,59.9
2026-09-05,2026-09-05T17:59:29Z,Banesco,56.5,59.9
2026-09-05,2026-09-05T17:59:29Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-05,2026-09-05T17:59:29Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-05,2026-09-05T17:59:29Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-05,2026-09-05T17:59:29Z,Banco Lafise,56.6,60
