date,time,entidad,compra,venta
2026-03-09,2026-03-09T16:59:20Z,Capla,60.4,
2026-03-09,2026-03-09T16:59:20Z,Cambio Extranjero,60.449999999999996,
2026-03-09,2026-03-09T16:59:20Z,Asociación Romana,59.5,
2026-03-09,2026-03-09T16:59:20Z,Motor Crédito,59.949999999999996,61.4
2026-03-09,2026-03-09T16:59:20Z,RM,60.7,61.5
2026-03-09,2026-03-09T16:59:20Z,Banco Unión,59,61.5
2026-03-09,2026-03-09T16:59:20Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-09,2026-03-09T16:59:20Z,Moneycorps,60.5,61.6
2026-03-09,2026-03-09T16:59:20Z,Taveras,60.25,61.6
2026-03-09,2026-03-09T16:59:20Z,Asociación Duarte,59.6,61.6
2026-03-09,2026-03-09T16:59:20Z,Banco Caribe,60,61.6
2026-03-09,2026-03-09T16:59:20Z,Bonanza Banco,60,61.65
2026-03-09,2026-03-09T16:59:20Z,Banreservas,59.65,61.65
2026-03-09,2026-03-09T16:59:20Z,Abonap,59.36,61.71
2026-03-09,2026-03-09T16:59:20Z,SCT,60.5,61.8
2026-03-09,2026-03-09T16:59:20Z,Gamelin,60.5,61.8
2026-03-09,2026-03-09T16:59:20Z,Banco Lafise,59.849999999999994,61.849999999999994
2026-03-09,2026-03-09T16:59:20Z,Asociación Popular de Ahorros y Préstamos,59.3,61.849999999999994
2026-03-09,2026-03-09T16:59:20Z,Asociación La Nacional de Ahorros y Préstamos,59.9,61.9
2026-03-09,2026-03-09T16:59:20Z,Panora Exchange,60.5,61.9
2026-03-09,2026-03-09T16:59:20Z,Banco BHD,59.3,62
2026-03-09,2026-03-09T16:59:20Z,Asociación Cibao de Ahorros y Préstamos,60,62
2026-03-09,2026-03-09T16:59:20Z,Banesco,59.15,62
