date,time,entidad,compra,venta
2026-05-23,2026-05-23T13:28:23Z,Cambio Extranjero,59.1,
2026-05-23,2026-05-23T13:28:23Z,Asociación Romana,58.1,
2026-05-23,2026-05-23T13:28:23Z,RM,59,59.5
2026-05-23,2026-05-23T13:28:23Z,Taveras,59,59.5
2026-05-23,2026-05-23T13:28:23Z,Panora Exchange,58.75,59.5
2026-05-23,2026-05-23T13:28:23Z,Moneycorps,59,59.6
2026-05-23,2026-05-23T13:28:23Z,Gamelin,59,59.75
2026-05-23,2026-05-23T13:28:23Z,SCT,58.9,59.8
2026-05-23,2026-05-23T13:28:23Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.5
2026-05-23,2026-05-23T13:28:23Z,Bonanza Banco,58.4,60.5
2026-05-23,2026-05-23T13:28:23Z,Banco Unión,58.5,60.5
2026-05-23,2026-05-23T13:28:23Z,Banreservas,57.5,60.5
2026-05-23,2026-05-23T13:28:23Z,Banco Caribe,58,60.5
2026-05-23,2026-05-23T13:28:23Z,Motor Crédito,58.65,60.5
2026-05-23,2026-05-23T13:28:23Z,Abonap,57.49,60.56
2026-05-23,2026-05-23T13:28:23Z,Banco BHD,57.1,60.6
2026-05-23,2026-05-23T13:28:23Z,Banco Lafise,57.1,60.6
2026-05-23,2026-05-23T13:28:23Z,Asociación La Nacional de Ahorros y Préstamos,57.5,60.6
2026-05-23,2026-05-23T13:28:23Z,Banesco,57.8,60.6
2026-05-23,2026-05-23T13:28:23Z,Asociación Popular de Ahorros y Préstamos,57.5,60.6
2026-05-23,2026-05-23T13:28:23Z,Asociación Peravia de Ahorros y Préstamos,57.1,60.949999999999996
