date,time,entidad,compra,venta
2026-08-07,2026-08-07T16:55:33Z,Cambio Extranjero,58.1,
2026-08-07,2026-08-07T16:55:33Z,Asociación Romana,57.5,
2026-08-07,2026-08-07T16:55:33Z,Panora Exchange,58,58.55
2026-08-07,2026-08-07T16:55:33Z,RM,58.25,58.6
2026-08-07,2026-08-07T16:55:33Z,SCT,58.1,58.6
2026-08-07,2026-08-07T16:55:33Z,Taveras,58,58.6
2026-08-07,2026-08-07T16:55:33Z,Moneycorps,58,58.65
2026-08-07,2026-08-07T16:55:33Z,Gamelin,58,58.8
2026-08-07,2026-08-07T16:55:33Z,Banco Unión,57.5,59.5
2026-08-07,2026-08-07T16:55:33Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.5
2026-08-07,2026-08-07T16:55:33Z,Motor Crédito,57.8,59.5
2026-08-07,2026-08-07T16:55:33Z,Banco BHD,55.9,59.7
2026-08-07,2026-08-07T16:55:33Z,Asociación La Nacional de Ahorros y Préstamos,56.8,59.8
2026-08-07,2026-08-07T16:55:33Z,Banco Lafise,56.5,59.8
2026-08-07,2026-08-07T16:55:33Z,Bonanza Banco,57.8,59.8
2026-08-07,2026-08-07T16:55:33Z,Banreservas,56.4,59.9
2026-08-07,2026-08-07T16:55:33Z,Banesco,56.5,59.9
