date,time,entidad,compra,venta
2026-07-13,2026-07-13T14:37:36Z,Asociación Romana,57.75,
2026-07-13,2026-07-13T14:37:36Z,Cambio Extranjero,58.4,
2026-07-13,2026-07-13T14:37:36Z,Panora Exchange,58.349999999999994,59
2026-07-13,2026-07-13T14:37:36Z,Moneycorps,58.3,59.1
2026-07-13,2026-07-13T14:37:36Z,RM,58.5,59.1
2026-07-13,2026-07-13T14:37:36Z,Gamelin,58.25,59.1
2026-07-13,2026-07-13T14:37:36Z,SCT,58.5,59.2
2026-07-13,2026-07-13T14:37:36Z,Taveras,58.6,59.6
2026-07-13,2026-07-13T14:37:36Z,Motor Crédito,58.3,59.8
2026-07-13,2026-07-13T14:37:36Z,Banreservas,57.25,60.25
2026-07-13,2026-07-13T14:37:36Z,Bonanza Banco,58,60.5
2026-07-13,2026-07-13T14:37:36Z,Abonap,57.379999999999995,60.6
2026-07-13,2026-07-13T14:37:36Z,Asociación Popular de Ahorros y Préstamos,57.05,60.75
2026-07-13,2026-07-13T14:37:36Z,Banco Lafise,57.5,60.8
2026-07-13,2026-07-13T14:37:36Z,Banesco,57.5,60.849999999999994
2026-07-13,2026-07-13T14:37:36Z,Banco BHD,57.05,60.9
2026-07-13,2026-07-13T14:37:36Z,Asociación Peravia de Ahorros y Préstamos,56.8,60.949999999999996
