date,time,entidad,compra,venta
2026-03-13,2026-03-13T13:03:05Z,Asociación Romana,60.5,
2026-03-13,2026-03-13T13:03:05Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-13,2026-03-13T13:03:05Z,Taveras,60.25,61.6
2026-03-13,2026-03-13T13:03:05Z,Asociación Cibao de Ahorros y Préstamos,59.8,62
2026-03-13,2026-03-13T13:03:05Z,Banreservas,60,62
2026-03-13,2026-03-13T13:03:05Z,Motor Crédito,60.449999999999996,62.1
2026-03-13,2026-03-13T13:03:05Z,Moneycorps,60.75,62.25
2026-03-13,2026-03-13T13:03:05Z,Bonanza Banco,60.5,62.349999999999994
2026-03-13,2026-03-13T13:03:05Z,Panora Exchange,60.3,62.4
2026-03-13,2026-03-13T13:03:05Z,Banco Caribe,60.3,62.4
2026-03-13,2026-03-13T13:03:05Z,Cambio Extranjero,60.5,62.449999999999996
2026-03-13,2026-03-13T13:03:05Z,Abonap,60.03,62.46
2026-03-13,2026-03-13T13:03:05Z,Asociación La Nacional de Ahorros y Préstamos,59.9,62.5
2026-03-13,2026-03-13T13:03:05Z,Gamelin,60.5,62.5
2026-03-13,2026-03-13T13:03:05Z,SCT,60,62.5
2026-03-13,2026-03-13T13:03:05Z,Banco BHD,59.8,62.5
2026-03-13,2026-03-13T13:03:05Z,Banco Lafise,59.9,62.5
2026-03-13,2026-03-13T13:03:05Z,Banco Unión,60.25,62.5
2026-03-13,2026-03-13T13:03:05Z,Asociación Popular de Ahorros y Préstamos,59.8,62.5
2026-03-13,2026-03-13T13:03:05Z,Asociación Duarte,60.75,62.75
2026-03-13,2026-03-13T13:03:05Z,Banesco,59.9,62.8
2026-03-13,2026-03-13T13:03:05Z,Capla,61,62.9
2026-03-13,2026-03-13T13:03:05Z,RM,61.8,63
