date,time,entidad,compra,venta
2026-06-07,2026-06-07T20:13:37Z,Cambio Extranjero,58.2,
2026-06-07,2026-06-07T20:13:37Z,Asociación Romana,57.15,
2026-06-07,2026-06-07T20:13:37Z,Panora Exchange,58.15,58.8
2026-06-07,2026-06-07T20:13:37Z,Taveras,58.2,58.8
2026-06-07,2026-06-07T20:13:37Z,Moneycorps,58.15,58.849999999999994
2026-06-07,2026-06-07T20:13:37Z,Gamelin,58.1,59
2026-06-07,2026-06-07T20:13:37Z,RM,58.2,59
2026-06-07,2026-06-07T20:13:37Z,SCT,58.1,59.2
2026-06-07,2026-06-07T20:13:37Z,Asociación Peravia de Ahorros y Préstamos,56.6,59.5
2026-06-07,2026-06-07T20:13:37Z,Motor Crédito,57.849999999999994,59.75
2026-06-07,2026-06-07T20:13:37Z,Banco Unión,57,59.75
2026-06-07,2026-06-07T20:13:37Z,Abonap,56.71,59.93
2026-06-07,2026-06-07T20:13:37Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-07,2026-06-07T20:13:37Z,Asociación Cibao de Ahorros y Préstamos,57,60
2026-06-07,2026-06-07T20:13:37Z,Banco Lafise,56.5,60
2026-06-07,2026-06-07T20:13:37Z,Bonanza Banco,57.5,60
2026-06-07,2026-06-07T20:13:37Z,Banreservas,56.5,60
2026-06-07,2026-06-07T20:13:37Z,Banesco,57,60
2026-06-07,2026-06-07T20:13:37Z,Banco Caribe,57,60
2026-06-07,2026-06-07T20:13:37Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-07,2026-06-07T20:13:37Z,Banco BHD,56.7,60.2
