date,bank,tipo,buy,sell
2026-07-13,Scotiabank,Dólar (US) Canales Digitales*,56.7,60.5
2026-07-13,Scotiabank,Dólar (US) Sucursales,56.7,60.5
2026-07-13,Banreservas,,57.25,60.25
2026-07-13,Banco Popular,,56.55,60.7
2026-07-13,BHD,,57.05,60.9
2026-07-13,Banco Caribe,,57.75,60.75
2026-07-13,BDI,,57.5,60
2026-07-13,Vimenca,,57.75,60.7
2026-07-13,Banesco,,57.5,60.849999999999994
2026-07-13,Ademi,,57.75,60.449999999999996
2026-07-13,Quezada,,58.25,59.5
2026-07-13,Lafise,,57.5,60.8
2026-07-13,Promerica,,57.4,60.9
