date,bank,tipo,buy,sell
2026-04-09,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.95
2026-04-09,Scotiabank,Dólar (US) Sucursales,58.25,61.95
2026-04-09,Banreservas,,59,61.5
2026-04-09,Banco Popular,,58,61.95
2026-04-09,BHD,,58.4,61.9
2026-04-09,Banco Caribe,,59,61.849999999999994
2026-04-09,BDI,,58.5,61.5
2026-04-09,Vimenca,,59,61.5
2026-04-09,BLH,,58,61.5
2026-04-09,Banesco,,58.3,61.9
2026-04-09,Ademi,,59.4,61.9
2026-04-09,Quezada,,59.5,60.949999999999996
2026-04-09,Lafise,,58.4,61.9
2026-04-09,Promerica,,58.4,61.9
