date,bank,tipo,buy,sell
2026-07-10,Scotiabank,Dólar (US) Canales Digitales*,57.05,60.8
2026-07-10,Scotiabank,Dólar (US) Sucursales,57.05,60.8
2026-07-10,Banreservas,,57.75,60.75
2026-07-10,Banco Popular,,56.8,60.95
2026-07-10,BHD,,57.05,60.9
2026-07-10,Banco Caribe,,57.75,60.75
2026-07-10,BDI,,57.5,59.5
2026-07-10,Vimenca,,57.75,60.7
2026-07-10,Banesco,,57.5,60.849999999999994
2026-07-10,Ademi,,58.5,60.8
2026-07-10,Quezada,,58.3,59.75
2026-07-10,Lafise,,57.5,60.8
2026-07-10,Promerica,,57.4,60.9
