date,bank,tipo,buy,sell
2026-03-22,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-22,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-22,Banreservas,,58.75,61.25
2026-03-22,Banco Popular,,58.05,61.8
2026-03-22,BHD,,58.5,61.5
2026-03-22,Banco Caribe,,58.75,61.25
2026-03-22,BDI,,59,61.5
2026-03-22,Vimenca,,58.8,61.5
2026-03-22,BLH,,58.6,61.5
2026-03-22,Banesco,,58.5,61.5
2026-03-22,Ademi,,58.8,61.5
2026-03-22,Quezada,,59.849999999999994,61.5
2026-03-22,Lafise,,58,61.5
2026-03-22,Promerica,,58.7,61.5
