date,bank,tipo,buy,sell
2026-03-07,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-07,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-07,Banreservas,,59.4,61.4
2026-03-07,Banco Popular,,58.7,61.85
2026-03-07,BHD,,59.15,61.849999999999994
2026-03-07,Banco Caribe,,59.25,61.4
2026-03-07,BDI,,59.8,61.8
2026-03-07,Vimenca,,59.849999999999994,61.849999999999994
2026-03-07,BLH,,59.3,61.4
2026-03-07,Banesco,,59.05,61.849999999999994
2026-03-07,Ademi,,59.2,61.5
2026-03-07,Quezada,,60,61.5
2026-03-07,Lafise,,58.9,61.5
2026-03-07,Promerica,,59,61.5
