date,bank,tipo,buy,sell
2026-04-07,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.95
2026-04-07,Scotiabank,Dólar (US) Sucursales,58.25,61.95
2026-04-07,Banreservas,,59.349999999999994,61.849999999999994
2026-04-07,Banco Popular,,58.05,61.95
2026-04-07,BHD,,58.4,61.9
2026-04-07,Banco Caribe,,59,61.849999999999994
2026-04-07,BDI,,58.75,61.8
2026-04-07,Vimenca,,59.5,61.9
2026-04-07,BLH,,58.4,61.8
2026-04-07,Banesco,,58.3,62
2026-04-07,Ademi,,59.4,61.9
2026-04-07,Quezada,,60.15,61.5
2026-04-07,Lafise,,58.4,61.9
2026-04-07,Promerica,,58.4,61.9
