date,bank,tipo,buy,sell
2026-03-15,Scotiabank,Dólar (US) Canales Digitales*,58.9,61.9
2026-03-15,Scotiabank,Dólar (US) Sucursales,58.9,61.9
2026-03-15,Banreservas,,59.5,61.5
2026-03-15,Banco Popular,,58.5,62
2026-03-15,BHD,,59.2,62
2026-03-15,Banco Caribe,,59,61.5
2026-03-15,BDI,,59.5,62
2026-03-15,Vimenca,,59,62
2026-03-15,BLH,,59,61.9
2026-03-15,Banesco,,59.5,62
2026-03-15,Ademi,,58.949999999999996,61.949999999999996
2026-03-15,Quezada,,59,61.5
2026-03-15,Lafise,,59.4,62
2026-03-15,Promerica,,59,61.7
