date,bank,tipo,buy,sell
2026-07-02,Scotiabank,Dólar (US) Canales Digitales*,57.05,60.8
2026-07-02,Scotiabank,Dólar (US) Sucursales,57.05,60.8
2026-07-02,Banreservas,,57.75,60.75
2026-07-02,Banco Popular,,56.8,60.95
2026-07-02,BHD,,57.05,60.9
2026-07-02,Banco Caribe,,58.25,60.75
2026-07-02,BDI,,58,60
2026-07-02,Vimenca,,58,60.7
2026-07-02,Banesco,,57.5,60.849999999999994
2026-07-02,Ademi,,58.5,60.8
2026-07-02,Quezada,,58.5,59.949999999999996
2026-07-02,Lafise,,57.5,60.8
2026-07-02,Promerica,,57.4,60.9
