date,bank,tipo,buy,sell
2026-04-10,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.95
2026-04-10,Scotiabank,Dólar (US) Sucursales,58.25,61.95
2026-04-10,Banreservas,,59,61.5
2026-04-10,Banco Popular,,58,61.95
2026-04-10,BHD,,58.4,61.9
2026-04-10,Banco Caribe,,58.5,61.849999999999994
2026-04-10,BDI,,58.5,61.5
2026-04-10,Vimenca,,58.5,61.5
2026-04-10,BLH,,58,61.5
2026-04-10,Banesco,,58.3,61.9
2026-04-10,Ademi,,59.4,61.9
2026-04-10,Quezada,,59.25,60.949999999999996
2026-04-10,Lafise,,58.4,61.9
2026-04-10,Promerica,,58.4,61.9
