date,bank,tipo,buy,sell
2026-04-08,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.95
2026-04-08,Scotiabank,Dólar (US) Sucursales,58.25,61.95
2026-04-08,Banreservas,,59.349999999999994,61.849999999999994
2026-04-08,Banco Popular,,58.05,61.95
2026-04-08,BHD,,58.4,61.9
2026-04-08,BDI,,58.5,61.5
2026-04-08,Vimenca,,59.5,61.9
2026-04-08,BLH,,58.4,61.8
2026-04-08,Banesco,,58.3,61.9
2026-04-08,Ademi,,59.4,61.9
2026-04-08,Quezada,,60.15,61.3
2026-04-08,Lafise,,58.4,61.9
2026-04-08,Promerica,,58.4,61.9
