date,bank,tipo,buy,sell
2026-03-19,Scotiabank,Dólar (US) Canales Digitales*,57.75,60.75
2026-03-19,Scotiabank,Dólar (US) Sucursales,57.75,60.75
2026-03-19,Banreservas,,57.75,60.25
2026-03-19,Banco Popular,,56.75,60.5
2026-03-19,BHD,,57.7,60.5
2026-03-19,Banco Caribe,,57.75,60
2026-03-19,BDI,,58,60.25
2026-03-19,Vimenca,,58,61
2026-03-19,BLH,,57.5,60.4
2026-03-19,Banesco,,57.849999999999994,60.5
2026-03-19,Ademi,,57.8,60.5
2026-03-19,Quezada,,58.6,60.25
2026-03-19,Lafise,,57.5,60.5
2026-03-19,Promerica,,57.7,60.5
