date,bank,tipo,buy,sell
2026-03-13,Scotiabank,Dólar (US) Canales Digitales*,59.9,62.9
2026-03-13,Scotiabank,Dólar (US) Sucursales,59.9,62.9
2026-03-13,Banreservas,,60,62
2026-03-13,Banco Popular,,59.75,62.9
2026-03-13,BHD,,59.8,62.5
2026-03-13,Banco Caribe,,60.3,62.4
2026-03-13,BDI,,60,62.25
2026-03-13,Vimenca,,60.3,62.5
2026-03-13,BLH,,60,62.3
2026-03-13,Banesco,,59.9,62.8
2026-03-13,Ademi,,59.9,61.9
2026-03-13,Quezada,,60,61.949999999999996
2026-03-13,Lafise,,59.9,62.5
2026-03-13,Promerica,,59.8,62.5
