date,bank,tipo,buy,sell
2026-03-31,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.75
2026-03-31,Scotiabank,Dólar (US) Sucursales,58.25,61.75
2026-03-31,Banreservas,,59.2,61.7
2026-03-31,Banco Popular,,58.05,61.9
2026-03-31,BHD,,58.3,61.8
2026-03-31,Banco Caribe,,58.9,61.5
2026-03-31,BDI,,58.5,61.7
2026-03-31,Vimenca,,59,61.6
2026-03-31,BLH,,58.8,61.6
2026-03-31,Banesco,,58.3,62
2026-03-31,Ademi,,58.5,61.5
2026-03-31,Quezada,,60.1,61.3
2026-03-31,Lafise,,58.3,61.8
2026-03-31,Promerica,,58.3,61.8
