date,bank,tipo,buy,sell
2026-03-29,Scotiabank,Dólar (US) Canales Digitales*,58.25,61.75
2026-03-29,Scotiabank,Dólar (US) Sucursales,58.25,61.75
2026-03-29,Banreservas,,59.1,61.6
2026-03-29,Banco Popular,,57.9,61.75
2026-03-29,BHD,,58,61.5
2026-03-29,Banco Caribe,,58.9,61.25
2026-03-29,BDI,,58.5,61.5
2026-03-29,Vimenca,,58.25,61.5
2026-03-29,BLH,,58.2,61.4
2026-03-29,Banesco,,58,62
2026-03-29,Ademi,,58.5,61.5
2026-03-29,Quezada,,60,61.3
2026-03-29,Lafise,,58.2,61.7
2026-03-29,Promerica,,58.25,61.75
