date,bank,tipo,buy,sell
2026-03-05,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-05,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-05,Banreservas,,59.25,61.25
2026-03-05,Banco Popular,,58.55,61.7
2026-03-05,BHD,,58.8,61.5
2026-03-05,Banco Caribe,,59.25,61.4
2026-03-05,BDI,,59.8,61.8
2026-03-05,Vimenca,,59.5,61.5
2026-03-05,BLH,,59.1,61.4
2026-03-05,Banesco,,59,61.8
2026-03-05,Ademi,,59.2,61.5
2026-03-05,Quezada,,59.75,60.949999999999996
2026-03-05,Lafise,,58.9,61.5
2026-03-05,Promerica,,59,61.5
