date,bank,tipo,buy,sell
2026-04-01,Scotiabank,Dólar (US) Canales Digitales*,58.1,61.8
2026-04-01,Scotiabank,Dólar (US) Sucursales,58.1,61.8
2026-04-01,Banreservas,,59.2,61.7
2026-04-01,Banco Popular,,58.05,61.95
2026-04-01,BHD,,58.3,61.8
2026-04-01,Banco Caribe,,59.2,61.7
2026-04-01,BDI,,58.5,61.7
2026-04-01,Vimenca,,59,61.75
2026-04-01,BLH,,58.8,61.6
2026-04-01,Banesco,,58.3,62
2026-04-01,Ademi,,58.5,61.5
2026-04-01,Quezada,,60.1,61.3
2026-04-01,Lafise,,58.3,61.8
2026-04-01,Promerica,,58.3,61.8
