date,bank,tipo,buy,sell
2026-03-21,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-21,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-21,Banreservas,,58.75,61.25
2026-03-21,Banco Popular,,58.05,61.8
2026-03-21,BHD,,58.5,61.5
2026-03-21,Banco Caribe,,58.75,61.25
2026-03-21,BDI,,59,61.5
2026-03-21,Vimenca,,58.8,61.5
2026-03-21,BLH,,58.6,61.5
2026-03-21,Banesco,,58.5,61.5
2026-03-21,Ademi,,58.8,61.5
2026-03-21,Quezada,,59.849999999999994,61.5
2026-03-21,Lafise,,58,61.5
2026-03-21,Promerica,,58.7,61.5
