date,bank,tipo,buy,sell
2026-07-14,Scotiabank,Dólar (US) Canales Digitales*,56.7,60.5
2026-07-14,Scotiabank,Dólar (US) Sucursales,56.7,60.5
2026-07-14,Banreservas,,57.25,60.25
2026-07-14,Banco Popular,,56.55,60.7
2026-07-14,BHD,,56.65,60.6
2026-07-14,Banco Caribe,,57.75,60.75
2026-07-14,BDI,,57.5,60
2026-07-14,Vimenca,,57.75,60.7
2026-07-14,Banesco,,57.5,60.849999999999994
2026-07-14,Ademi,,57.75,60.449999999999996
2026-07-14,Quezada,,58.25,59.25
2026-07-14,Lafise,,57.5,60.8
2026-07-14,Promerica,,57.1,60.6
