date,bank,tipo,buy,sell
2026-03-10,Scotiabank,Dólar (US) Canales Digitales*,59,62
2026-03-10,Scotiabank,Dólar (US) Sucursales,59,62
2026-03-10,Banreservas,,59.949999999999996,61.949999999999996
2026-03-10,Banco Popular,,58.95,62.1
2026-03-10,BHD,,59.3,62
2026-03-10,Banco Caribe,,60,61.6
2026-03-10,BDI,,60,61.849999999999994
2026-03-10,Vimenca,,60,62
2026-03-10,BLH,,59.8,61.8
2026-03-10,Banesco,,59.15,62
2026-03-10,Ademi,,59.9,61.9
2026-03-10,Quezada,,60.6,61.75
2026-03-10,Lafise,,60,62
2026-03-10,Promerica,,59.5,62
