date,bank,tipo,buy,sell
2026-03-16,Scotiabank,Dólar (US) Canales Digitales*,58,61
2026-03-16,Scotiabank,Dólar (US) Sucursales,58,61
2026-03-16,Banreservas,,59,61
2026-03-16,Banco Popular,,57.5,61
2026-03-16,BHD,,58.7,61.5
2026-03-16,Banco Caribe,,59,61.5
2026-03-16,BDI,,58.5,61
2026-03-16,Vimenca,,58.7,61.5
2026-03-16,BLH,,58.7,61.4
2026-03-16,Banesco,,58.75,61.5
2026-03-16,Ademi,,58.949999999999996,61.949999999999996
2026-03-16,Quezada,,59,61.5
2026-03-16,Lafise,,58.9,61.5
2026-03-16,Promerica,,58.8,61.5
