date,bank,tipo,buy,sell
2026-03-12,Scotiabank,Dólar (US) Canales Digitales*,59.9,62.9
2026-03-12,Scotiabank,Dólar (US) Sucursales,59.9,62.9
2026-03-12,Banreservas,,60,62
2026-03-12,Banco Popular,,59.75,62.9
2026-03-12,BHD,,59.8,62.5
2026-03-12,Banco Caribe,,60.3,62.4
2026-03-12,BDI,,60.25,62.5
2026-03-12,Vimenca,,60.75,62.75
2026-03-12,BLH,,60.4,62.8
2026-03-12,Banesco,,59.9,62.8
2026-03-12,Ademi,,59.9,61.9
2026-03-12,Quezada,,60.5,62.5
2026-03-12,Lafise,,59.9,62.5
2026-03-12,Promerica,,59.8,62.5
