date,bank,tipo,buy,sell
2026-03-06,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-06,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-06,Banreservas,,59.4,61.4
2026-03-06,Banco Popular,,58.7,61.85
2026-03-06,BHD,,58.8,61.5
2026-03-06,Banco Caribe,,59.25,61.4
2026-03-06,BDI,,59.8,61.8
2026-03-06,Vimenca,,59.5,61.5
2026-03-06,BLH,,59.3,61.4
2026-03-06,Banesco,,59.05,61.849999999999994
2026-03-06,Ademi,,59.2,61.5
2026-03-06,Quezada,,60,61.7
2026-03-06,Lafise,,58.9,61.5
2026-03-06,Promerica,,59,61.5
