date,bank,tipo,buy,sell
2026-03-27,Scotiabank,Dólar (US) Canales Digitales*,57.75,61.25
2026-03-27,Scotiabank,Dólar (US) Sucursales,57.75,61.25
2026-03-27,Banreservas,,58.9,61.4
2026-03-27,Banco Popular,,57.75,61.5
2026-03-27,BHD,,57.75,61.25
2026-03-27,Banco Caribe,,58.25,61
2026-03-27,BDI,,58.25,61.25
2026-03-27,Vimenca,,58,61.25
2026-03-27,BLH,,58,61.2
2026-03-27,Banesco,,57.7,61.25
2026-03-27,Ademi,,58.3,61.25
2026-03-27,Quezada,,59.1,61.3
2026-03-27,Lafise,,58,61.5
2026-03-27,Promerica,,57.75,61.25
